Country,GDP_growth,GDP_per_capita,Inflation,Unemployment,Debt,Deficit,Current_account
Afghanistan,-6.24,422.229,10.6,,10.925,-0.997,13.974
Albania,3.08,8924.317,3.495,11.0,58.022,-2.163,-3.754
Algeria,3.848,5721.678,7.551,,46.401,-8.51,0.136
Andorra,1.8,44899.596,4.266,1.5,34.727,2.282,17.488
Angola,2.558,2431.58,22.004,,70.342,2.726,4.853
Antigua and Barbuda,6.077,20532.983,2.634,,76.362,-0.998,-11.077
Argentina,-2.764,12811.84,249.793,8.0,86.2,0.009,0.91
Armenia,6.011,8575.301,3.124,13.0,53.143,-4.609,-2.809
Aruba,1.1,38018.431,2.345,6.728,76.212,1.156,6.468
Australia,1.461,66589.055,3.53,4.21,49.634,-1.338,0.481
Austria,0.435,59225.15,3.92,5.398,75.438,-2.641,2.095
Azerbaijan,2.764,7640.915,3.546,5.521,18.268,-1.103,8.454
Bahrain,3.567,28876.454,1.4,7.7,125.972,-6.894,6.932
Bangladesh,5.7,2646.005,9.3,,41.402,-4.648,-0.808
Barbados,3.7,23596.139,3.857,8.228,107.457,-1.636,-6.988
Belarus,2.401,7557.795,6.307,3.044,48.57,-1.636,-0.484
Belgium,1.158,55536.223,3.623,5.514,105.355,-4.396,-0.517
Belize,3.383,7170.182,3.063,3.4,62.921,-0.831,-2.106
Benin,6.039,1512.242,3.0,,53.409,-3.7,-5.014
Bhutan,4.295,4014.386,4.898,3.5,111.393,-4.89,-12.251
Bolivia,1.6,4014.178,4.484,5.0,86.652,-7.872,-5.666
Bosnia and Herzegovina,2.5,8415.97,3.032,13.3,29.699,-2.442,-4.479
Botswana,3.574,7875.313,4.02,,17.914,-3.625,-1.174
Brazil,2.154,11351.871,4.113,8.032,86.724,-6.327,-1.368
Brunei Darussalam,2.385,35111.31,1.3,4.9,2.265,-13.37,18.611
Bulgaria,2.737,16942.519,3.351,4.3,23.425,-2.726,-0.253
Burkina Faso,5.464,910.21,2.1,,63.275,-5.666,-5.667
Burundi,4.282,230.044,21.964,,72.664,-5.888,-17.312
Cabo Verde,4.742,4655.649,2.0,8.5,112.242,-3.242,-6.14
Cambodia,6.032,2627.767,2.268,,26.361,-1.719,-3.462
Cameroon,4.253,1814.944,5.9,,39.231,-0.379,-2.779
Canada,1.154,54866.046,2.606,6.323,104.723,-1.133,0.321
Central African Republic,1.269,537.601,4.705,,55.646,-3.086,-7.693
Chad,2.912,1014.082,3.087,,32.327,-1.049,-2.312
Chile,1.983,16616.231,3.18,8.713,40.509,-1.87,-3.944
China,4.642,13136.482,0.97,5.1,88.581,-7.367,1.272
